LibraryItem_ID,Family,Group,Name,RequiredFor
10810,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
10812,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
7529,(c) Other PT/OT Items,Ambulation and Balance,Sitting Balance Scale,
5800,(c) Other PT/OT Items,Ambulation and Balance,Stairs,
10227,(c) Other PT/OT Items,Ambulation and Balance,Stairs,
8305,(c) Other PT/OT Items,Fall Risk,Timed Up and Go (TUG),
6477,(d) Other ST Items,Communication,Auditory Comprehension,
7379,(d) Other ST Items,Communication,Auditory Comprehension,
7386,(d) Other ST Items,Communication,Auditory Comprehension,
7387,(d) Other ST Items,Communication,Auditory Comprehension,
7388,(d) Other ST Items,Communication,Auditory Comprehension,
7389,(d) Other ST Items,Communication,Auditory Comprehension,
7390,(d) Other ST Items,Communication,Auditory Comprehension,
10509,(d) Other ST Items,Communication,Auditory Comprehension,
8167,(d) Other ST Items,Swallowing,Dysphagia Outcome and Severity Scale (DOSS),
6801,(d) Other ST Items,Swallowing,Functional Oral Intake Scale (FOIS),
8170,(d) Other ST Items,Swallowing,Functional Oral Intake Scale (FOIS),
7562,(d) Other ST Items,Cognition,Global Deterioration Scale (GDS),
7572,(d) Other ST Items,Cognition,Memory,
10193,(d) Other ST Items,Cognition,Memory,
6482,(d) Other ST Items,Pragmatics,Pragmatic Skills,
10510,(d) Other ST Items,Pragmatics,Pragmatic Skills,
10511,(d) Other ST Items,Communication,Reading Comprehension,
6486,(d) Other ST Items,Communication,Verbal Expression,
10512,(d) Other ST Items,Communication,Verbal Expression,
7368,(d) Other ST Items,Communication,Verbal Language Skills,
7371,(d) Other ST Items,Communication,Verbal Language Skills,
7373,(d) Other ST Items,Communication,Verbal Language Skills,
7374,(d) Other ST Items,Communication,Verbal Language Skills,
7375,(d) Other ST Items,Communication,Verbal Language Skills,
7376,(d) Other ST Items,Communication,Verbal Language Skills,
7408,(d) Other ST Items,Communication,Verbal Language Skills,
10513,(d) Other ST Items,Communication,Written Expression,
11023,(c) Other PT/OT Items,Transfers,Transfers,
11030,(d) Other ST Items,Cognition,Memory,
11059,(c) Other PT/OT Items,Transfers,Transfers,
11060,(c) Other PT/OT Items,Gait Speed,4MWT Gait Speed Test,PT
11061,(c) Other PT/OT Items,Functional Abilities,Modified Barthel ADL Index,OT
11066,(d) Other ST Items,Communication,Auditory Comprehension,
11067,(d) Other ST Items,Pragmatics,Pragmatic Skills,
11068,(d) Other ST Items,Communication,Reading Comprehension,
11069,(d) Other ST Items,Communication,Verbal Expression,
11070,(d) Other ST Items,Communication,Written Expression,
