Library Scale Value,Scale Name,Response Description,Points,Response Type
9335,62-point TUG scale,1.50 minutes,6.6%,
9336,62-point TUG scale,1.75 minutes,4.9%,
9337,62-point TUG scale,2.00 minutes,3.3%,
9338,62-point TUG scale,>2.00 minutes,1.6%,
9339,62-point TUG scale,Unable,0.0%,
9340,62-point TUG scale,N/A,0.0%,N/A
9341,62-point TUG scale,NT,0.0%,N/A
21023,80-point LEFS scale,80,100.0%,
21024,80-point LEFS scale,79,98.7%,
21025,80-point LEFS scale,78,97.5%,
21026,80-point LEFS scale,77,96.2%,
21027,80-point LEFS scale,76,94.9%,
21028,80-point LEFS scale,75,93.7%,
21029,80-point LEFS scale,74,92.4%,
21030,80-point LEFS scale,73,91.1%,
21031,80-point LEFS scale,72,89.9%,
21032,80-point LEFS scale,71,88.6%,
21033,80-point LEFS scale,70,87.3%,
21034,80-point LEFS scale,69,86.1%,
21035,80-point LEFS scale,68,84.8%,
21036,80-point LEFS scale,67,83.5%,
21037,80-point LEFS scale,66,82.3%,
21038,80-point LEFS scale,65,81.0%,
21039,80-point LEFS scale,64,79.7%,
21040,80-point LEFS scale,63,78.5%,
21041,80-point LEFS scale,62,77.2%,
21042,80-point LEFS scale,61,75.9%,
21043,80-point LEFS scale,60,74.7%,
21044,80-point LEFS scale,59,73.4%,
21045,80-point LEFS scale,58,72.2%,
21046,80-point LEFS scale,57,70.9%,
21047,80-point LEFS scale,56,69.6%,
21048,80-point LEFS scale,55,68.4%,
21049,80-point LEFS scale,54,67.1%,
21050,80-point LEFS scale,53,65.8%,
21051,80-point LEFS scale,52,64.6%,
21052,80-point LEFS scale,51,63.3%,
21053,80-point LEFS scale,50,62.0%,
21054,80-point LEFS scale,49,60.8%,
21055,80-point LEFS scale,48,59.5%,
21056,80-point LEFS scale,47,58.2%,
21057,80-point LEFS scale,46,57.0%,
21058,80-point LEFS scale,45,55.7%,
21059,80-point LEFS scale,44,54.4%,
21060,80-point LEFS scale,43,53.2%,
21061,80-point LEFS scale,42,51.9%,
21062,80-point LEFS scale,41,50.6%,
21063,80-point LEFS scale,40,49.4%,
21064,80-point LEFS scale,39,48.1%,
21065,80-point LEFS scale,38,46.8%,
21066,80-point LEFS scale,37,45.6%,
21067,80-point LEFS scale,36,44.3%,
21068,80-point LEFS scale,35,43.0%,
21069,80-point LEFS scale,34,41.8%,
21070,80-point LEFS scale,33,40.5%,
21071,80-point LEFS scale,32,39.2%,
21072,80-point LEFS scale,31,38.0%,
21073,80-point LEFS scale,30,36.7%,
21074,80-point LEFS scale,29,35.4%,
21075,80-point LEFS scale,28,34.2%,
21076,80-point LEFS scale,27,32.9%,
21077,80-point LEFS scale,26,31.6%,
21078,80-point LEFS scale,25,30.4%,
21079,80-point LEFS scale,24,29.1%,
21080,80-point LEFS scale,23,27.8%,
21081,80-point LEFS scale,22,26.6%,
21082,80-point LEFS scale,21,25.3%,
21083,80-point LEFS scale,20,24.1%,
21084,80-point LEFS scale,19,22.8%,
21085,80-point LEFS scale,18,21.5%,
21086,80-point LEFS scale,17,20.3%,
21087,80-point LEFS scale,16,19.0%,
21088,80-point LEFS scale,15,17.7%,
21089,80-point LEFS scale,14,16.5%,
21090,80-point LEFS scale,13,15.2%,
21091,80-point LEFS scale,12,13.9%,
21092,80-point LEFS scale,11,12.7%,
21093,80-point LEFS scale,10,11.4%,
21094,80-point LEFS scale,9,10.1%,
21095,80-point LEFS scale,8,8.9%,
21096,80-point LEFS scale,7,7.6%,
21097,80-point LEFS scale,6,6.3%,
21098,80-point LEFS scale,5,5.1%,
21099,80-point LEFS scale,4,3.8%,
21100,80-point LEFS scale,3,2.5%,
21101,80-point LEFS scale,2,1.3%,
21102,80-point LEFS scale,1,0.0%,
21103,80-point LEFS scale,NT,0.0%,N/A
24963,100-point Barthel scale,100 - Independent,100.0%,
25649,100-point Barthel scale,100 - Independent,100.0%,
24962,100-point Barthel scale,99 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),99.0%,
25648,100-point Barthel scale,99 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),99.0%,
24961,100-point Barthel scale,98 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),98.0%,
25647,100-point Barthel scale,98 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),98.0%,
24960,100-point Barthel scale,97 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),97.0%,
25646,100-point Barthel scale,97 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),97.0%,
24959,100-point Barthel scale,96 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),96.0%,
25645,100-point Barthel scale,96 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),96.0%,
24958,100-point Barthel scale,95 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),95.0%,
25644,100-point Barthel scale,95 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),95.0%,
24957,100-point Barthel scale,94 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),94.0%,
25643,100-point Barthel scale,94 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),94.0%,
24956,100-point Barthel scale,93 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),93.0%,
25642,100-point Barthel scale,93 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),93.0%,
24955,100-point Barthel scale,92 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),92.0%,
25641,100-point Barthel scale,92 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),92.0%,
24954,100-point Barthel scale,91 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),91.0%,
25640,100-point Barthel scale,91 - Generally minimal dependency (up to 10 hrs/week help needed; may be OK for community living),91.0%,
24953,100-point Barthel scale,90 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),90.0%,
25639,100-point Barthel scale,90 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),90.0%,
24952,100-point Barthel scale,89 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),89.0%,
25638,100-point Barthel scale,89 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),89.0%,
24951,100-point Barthel scale,88 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),88.0%,
25637,100-point Barthel scale,88 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),88.0%,
24950,100-point Barthel scale,87 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),87.0%,
25636,100-point Barthel scale,87 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),87.0%,
24949,100-point Barthel scale,86 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),86.0%,
25635,100-point Barthel scale,86 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),86.0%,
24948,100-point Barthel scale,85 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),85.0%,
25634,100-point Barthel scale,85 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),85.0%,
24947,100-point Barthel scale,84 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),84.0%,
25633,100-point Barthel scale,84 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),84.0%,
24946,100-point Barthel scale,83 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),83.0%,
25632,100-point Barthel scale,83 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),83.0%,
24945,100-point Barthel scale,82 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),82.0%,
25631,100-point Barthel scale,82 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),82.0%,
24944,100-point Barthel scale,81 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),81.0%,
25630,100-point Barthel scale,81 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),81.0%,
24943,100-point Barthel scale,80 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),80.0%,
25629,100-point Barthel scale,80 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),80.0%,
24942,100-point Barthel scale,79 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),79.0%,
25628,100-point Barthel scale,79 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),79.0%,
24941,100-point Barthel scale,78 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),78.0%,
25627,100-point Barthel scale,78 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),78.0%,
24940,100-point Barthel scale,77 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),77.0%,
25626,100-point Barthel scale,77 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),77.0%,
24939,100-point Barthel scale,76 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),76.0%,
25625,100-point Barthel scale,76 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),76.0%,
24938,100-point Barthel scale,75 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),75.0%,
25624,100-point Barthel scale,75 - Generally mildly dependent (up to 13 hrs/week help needed; if to live alone will likely need services),75.0%,
24937,100-point Barthel scale,74 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),74.0%,
25623,100-point Barthel scale,74 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),74.0%,
24936,100-point Barthel scale,73 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),73.0%,
25622,100-point Barthel scale,73 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),73.0%,
24935,100-point Barthel scale,72 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),72.0%,
25621,100-point Barthel scale,72 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),72.0%,
24934,100-point Barthel scale,71 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),71.0%,
25620,100-point Barthel scale,71 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),71.0%,
24933,100-point Barthel scale,70 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),70.0%,
25619,100-point Barthel scale,70 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),70.0%,
24932,100-point Barthel scale,69 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),69.0%,
25618,100-point Barthel scale,69 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),69.0%,
24931,100-point Barthel scale,68 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),68.0%,
25617,100-point Barthel scale,68 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),68.0%,
24930,100-point Barthel scale,67 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),67.0%,
25616,100-point Barthel scale,67 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),67.0%,
24929,100-point Barthel scale,66 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),66.0%,
25615,100-point Barthel scale,66 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),66.0%,
24928,100-point Barthel scale,65 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),65.0%,
25614,100-point Barthel scale,65 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),65.0%,
24927,100-point Barthel scale,64 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),64.0%,
25613,100-point Barthel scale,64 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),64.0%,
24926,100-point Barthel scale,63 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),63.0%,
25612,100-point Barthel scale,63 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),63.0%,
24925,100-point Barthel scale,62 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),62.0%,
25611,100-point Barthel scale,62 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),62.0%,
24924,100-point Barthel scale,61 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),61.0%,
25610,100-point Barthel scale,61 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),61.0%,
24923,100-point Barthel scale,60 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),60.0%,
25609,100-point Barthel scale,60 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),60.0%,
24922,100-point Barthel scale,59 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),59.0%,
25608,100-point Barthel scale,59 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),59.0%,
24921,100-point Barthel scale,58 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),58.0%,
25607,100-point Barthel scale,58 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),58.0%,
24920,100-point Barthel scale,57 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),57.0%,
25606,100-point Barthel scale,57 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),57.0%,
24919,100-point Barthel scale,56 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),56.0%,
25605,100-point Barthel scale,56 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),56.0%,
24918,100-point Barthel scale,55 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),55.0%,
25604,100-point Barthel scale,55 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),55.0%,
24917,100-point Barthel scale,54 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),54.0%,
25603,100-point Barthel scale,54 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),54.0%,
24916,100-point Barthel scale,53 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),53.0%,
25602,100-point Barthel scale,53 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),53.0%,
24915,100-point Barthel scale,52 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),52.0%,
25601,100-point Barthel scale,52 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),52.0%,
24914,100-point Barthel scale,51 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),51.0%,
25600,100-point Barthel scale,51 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),51.0%,
24913,100-point Barthel scale,50 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),50.0%,
25599,100-point Barthel scale,50 - Generally moderately dependent (up to 20 hrs/wk help needed; may need assisted living),50.0%,
24912,100-point Barthel scale,49 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),49.0%,
25598,100-point Barthel scale,49 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),49.0%,
24911,100-point Barthel scale,48 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),48.0%,
25597,100-point Barthel scale,48 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),48.0%,
24910,100-point Barthel scale,47 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),47.0%,
25596,100-point Barthel scale,47 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),47.0%,
24909,100-point Barthel scale,46 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),46.0%,
25595,100-point Barthel scale,46 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),46.0%,
24908,100-point Barthel scale,45 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),45.0%,
25594,100-point Barthel scale,45 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),45.0%,
24907,100-point Barthel scale,44 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),44.0%,
25593,100-point Barthel scale,44 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),44.0%,
24906,100-point Barthel scale,43 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),43.0%,
25592,100-point Barthel scale,43 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),43.0%,
24905,100-point Barthel scale,42 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),42.0%,
25591,100-point Barthel scale,42 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),42.0%,
24904,100-point Barthel scale,41 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),41.0%,
25590,100-point Barthel scale,41 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),41.0%,
24903,100-point Barthel scale,40 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),40.0%,
25589,100-point Barthel scale,40 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),40.0%,
24902,100-point Barthel scale,39 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),39.0%,
25588,100-point Barthel scale,39 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),39.0%,
24901,100-point Barthel scale,38 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),38.0%,
25587,100-point Barthel scale,38 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),38.0%,
24900,100-point Barthel scale,37 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),37.0%,
25586,100-point Barthel scale,37 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),37.0%,
24899,100-point Barthel scale,36 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),36.0%,
25585,100-point Barthel scale,36 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),36.0%,
24898,100-point Barthel scale,35 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),35.0%,
25584,100-point Barthel scale,35 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),35.0%,
24897,100-point Barthel scale,34 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),34.0%,
25583,100-point Barthel scale,34 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),34.0%,
24896,100-point Barthel scale,33 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),33.0%,
25582,100-point Barthel scale,33 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),33.0%,
24895,100-point Barthel scale,32 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),32.0%,
25581,100-point Barthel scale,32 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),32.0%,
24894,100-point Barthel scale,31 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),31.0%,
25580,100-point Barthel scale,31 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),31.0%,
24893,100-point Barthel scale,30 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),30.0%,
25579,100-point Barthel scale,30 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),30.0%,
24892,100-point Barthel scale,29 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),29.0%,
25578,100-point Barthel scale,29 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),29.0%,
24891,100-point Barthel scale,28 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),28.0%,
25577,100-point Barthel scale,28 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),28.0%,
24890,100-point Barthel scale,27 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),27.0%,
25576,100-point Barthel scale,27 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),27.0%,
24889,100-point Barthel scale,26 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),26.0%,
25575,100-point Barthel scale,26 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),26.0%,
24888,100-point Barthel scale,25 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),25.0%,
25574,100-point Barthel scale,25 - Generally severely dependent (up to 23.5 hrs/wk help needed; unlikely to go home),25.0%,
24887,100-point Barthel scale,24 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),24.0%,
25573,100-point Barthel scale,24 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),24.0%,
24886,100-point Barthel scale,23 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),23.0%,
25572,100-point Barthel scale,23 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),23.0%,
24885,100-point Barthel scale,22 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),22.0%,
25571,100-point Barthel scale,22 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),22.0%,
24884,100-point Barthel scale,21 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),21.0%,
25570,100-point Barthel scale,21 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),21.0%,
24883,100-point Barthel scale,20 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),20.0%,
25569,100-point Barthel scale,20 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),20.0%,
24882,100-point Barthel scale,19 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),19.0%,
25568,100-point Barthel scale,19 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),19.0%,
24881,100-point Barthel scale,18 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),18.0%,
25567,100-point Barthel scale,18 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),18.0%,
24880,100-point Barthel scale,17 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),17.0%,
25566,100-point Barthel scale,17 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),17.0%,
24879,100-point Barthel scale,16 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),16.0%,
25565,100-point Barthel scale,16 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),16.0%,
24878,100-point Barthel scale,15 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),15.0%,
25564,100-point Barthel scale,15 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),15.0%,
24877,100-point Barthel scale,14 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),14.0%,
25563,100-point Barthel scale,14 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),14.0%,
24876,100-point Barthel scale,13 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),13.0%,
25562,100-point Barthel scale,13 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),13.0%,
24875,100-point Barthel scale,12 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),12.0%,
25561,100-point Barthel scale,12 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),12.0%,
24874,100-point Barthel scale,11 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),11.0%,
25560,100-point Barthel scale,11 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),11.0%,
24873,100-point Barthel scale,10 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),10.0%,
25559,100-point Barthel scale,10 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),10.0%,
24872,100-point Barthel scale,9 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),9.0%,
25558,100-point Barthel scale,9 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),9.0%,
24871,100-point Barthel scale,8 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),8.0%,
25557,100-point Barthel scale,8 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),8.0%,
24870,100-point Barthel scale,7 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),7.0%,
25556,100-point Barthel scale,7 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),7.0%,
24869,100-point Barthel scale,6 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),6.0%,
25555,100-point Barthel scale,6 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),6.0%,
24868,100-point Barthel scale,5 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),5.0%,
25554,100-point Barthel scale,5 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),5.0%,
24867,100-point Barthel scale,4 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),4.0%,
25553,100-point Barthel scale,4 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),4.0%,
24866,100-point Barthel scale,3 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),3.0%,
25552,100-point Barthel scale,3 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),3.0%,
24865,100-point Barthel scale,2 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),2.0%,
25551,100-point Barthel scale,2 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),2.0%,
24864,100-point Barthel scale,1 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),1.0%,
25550,100-point Barthel scale,1 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),1.0%,
24863,100-point Barthel scale,0 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),0.0%,
25549,100-point Barthel scale,0 - Generally totally dependent (up to 27 hrs/wk help needed; unlikely to go home),0.0%,
24966,100-point Barthel scale,D/C value not obtained due to unexpected discharge,0.0%,N/A
24964,100-point Barthel scale,To be assessed,0.0%,N/A
24965,100-point Barthel scale,Pt. refused,0.0%,N/A
25651,100-point Barthel scale,Not assessed,0.0%,N/A
25650,100-point Barthel scale,To be assessed,0.0%,N/A
25652,100-point Barthel scale,Unexpected D/C and D/C ADL performance not assessed,0.0%,N/A
15742,SL 4-point scale,,0.0%,
15741,SL 4-point scale,,33.3%,
15740,SL 4-point scale,,66.7%,
15739,SL 4-point scale,,100.0%,
25813,SL 7-point scale,I,100.0%,
25814,SL 7-point scale,MI,83.3%,
25815,SL 7-point scale,Min / Sup,66.7%,
25816,SL 7-point scale,Mild,50.0%,
25817,SL 7-point scale,Mod,33.3%,
25818,SL 7-point scale,Prof / Max,16.7%,
25819,SL 7-point scale,Dep,0.0%,
25820,SL 7-point scale,DNT,0.0%,N/A
25821,SL 7-point scale,N/A,0.0%,N/A
25899,SL 302-point scale,.1 Sec,100.0%,
25900,SL 302-point scale,.2 Secs,99.7%,
25901,SL 302-point scale,.3 Secs,99.3%,
25902,SL 302-point scale,.4 Secs,99.0%,
25903,SL 302-point scale,.5 Secs,98.7%,
25904,SL 302-point scale,.6 Secs,98.3%,
25905,SL 302-point scale,.7  Secs,98.0%,
25906,SL 302-point scale,.8 Secs,97.7%,
25907,SL 302-point scale,.9 Secs,97.3%,
25908,SL 302-point scale,1.0 Secs,97.0%,
25909,SL 302-point scale,1.1 Secs,96.7%,
25910,SL 302-point scale,1.2 Secs,96.3%,
25911,SL 302-point scale,1.3 Secs,96.0%,
25912,SL 302-point scale,1.4 Secs,95.7%,
25913,SL 302-point scale,1.5 Secs,95.3%,
25914,SL 302-point scale,1.6 Secs,95.0%,
25915,SL 302-point scale,1.7 Secs,94.7%,
25916,SL 302-point scale,1.8 Secs,94.4%,
25917,SL 302-point scale,1.9 Secs,94.0%,
25918,SL 302-point scale,2.0 Secs,93.7%,
25919,SL 302-point scale,2.1 Secs,93.4%,
25920,SL 302-point scale,2.2 Secs,93.0%,
